Manufacturing,Retail Trade,Wholesale Trade,"Agriculture, Forestry, Fishing & Hunting",Transportation & Warehousing,"Arts, Entertainment & Recreation","Administration, Business Support & Waste Management Services",Finance & Insurance,Construction,"Professional, Scientific & Technical Services",Healthcare & Social Assistance,Information,Real Estate & Rental & Leasing,Mining,Accommodation & Food Services,Utilities,Educational Services
manufacturing,motor,trade,agriculture,air,arts,management,finance,construction,services,health,information,estate,mining,accommodation,utilities,services
food,vehicle,farm,forestry,transportation,spectator,companies,insurance,buildings,offices,care,industries,lessors,quarrying,food,power,schools
dog,parts,product,fishing,specialty,sports,enterprises,authorities,building,lawyers,assistance,internet,buildings,oil,services,generation,community
cat,dealers,wholesaler-distributors,hunting,services,industries,head,bank,structure,notaries,ambulatory,newspaper,dwellings,gas,traveller,transmission,colleges
grain,automobile,animal,crop,rail,companies,offices,credit,engineering,accounting,services,book,housing,extraction,hotels,distribution,c.e.g.e.p.s
oilseed,car,oilseed,production,freight,theater,support,intermediation,utility,tax,offices,directory,projects,coal,casino,fossil-fuel,universities
milling,motorcycle,grain,oilseed,mainline,dinner,waste,activities,system,preparation,physicians,publishers,mini-warehouses,metal,motels,control,business
flour,boat,stock,grain,passenger,theaters,remediation,depository,water,bookkeeping,dentists,list,property,ore,motor,bulk,computer
malt,accessories,plant,farming,water,musical,services,banking,line,payroll,practitioners,software,offices,iron,resorts,gas,management
rice,tire,petroleum,soybean,sea,opera,office,industry,structures,accountants,chiropractors,motion,agents,gold,bed,water,training
starch,stores,food,pea,lakes,dance,facilities,unions,oil,engineering,optometrists,picture,brokers,silver,breakfast,sewage,development
fat,furniture,beverage,bean,ferries,groups,employment,card,gas,landscape,speech,sound,activities,copper,housekeeping,systems,trade
oil,home,tobacco,wheat,inland,artists,placement,sales,pipeline,drafting,therapists,recording,managers,copper-zinc,cottages,supply,instruction
corn,furnishings,dairy,corn,truck,teams,agencies,financing,power,building,audiologists,video,appraisers,uranium,cabins,irrigation,arts
processing,floor,milk,rice,trucking,clubs,executive,consumer,communication,inspection,centres,production,leasing,mineral,rv,treatment,language
refining,window,products,melon,distance,horse,search,lending,land,surveying,family,distribution,services,stone,vehicle,facilities,support
blending,treatment,poultry,potato,truck-load,race,help,mortgage,subdivision,mapping,planning,exhibition,equipment,granite,parks,steam,
breakfast,print,egg,fruit,household,tracks,employer,loan,highway,geophysical,substance,post-production,rental,limestone,camps,,
cereal,picture,fish,nut,office,promoters,organizations,brokers,street,laboratories,abuse,record,passenger,sandstone,campgrounds,,
sugar,frame,fruit,orange,goods,presenters,business,transactions,bridge,design,community,production/distribution,car,sand,hunting,,
product,electronics,meat,groves,bulk,events,document,processing,specialty,computer,laboratories,music,truck,gravel,fishing,,
chocolate,appliance,cigarette,citrus,liquids,facilities,preparation,reserve,trade,systems,home,studios,utility,clay,vacation,,
confectionery,television,goods,greenhouse,materials,stadiums,telephone,clearing,contractors,management,ambulance,broadcasting,trailer,minerals,rooming,,
cacao,computer,textile,nursery,forest,festivals,call,house,foundation,consulting,air,radio,rv,shale,boarding,,
beans,software,clothing,floriculture,products,agents,centres,securities,concrete,resources,hospitals,television,vehicle,diamond,houses,,
fruit,camera,accessories,food,transit,managers,service,commodity,steel,research,paediatric,pay,consumer,salt,drinking,,
preserving,supplies,piece,crops,ground,athletes,collection,contracts,framing,development,psychiatric,specialty,goods,asbestos,places,,
canning,garden,home,mushroom,interurban,figures,bureaus,brokerage,glass,sciences,nursing,carriers,appliance,potash,restaurants,,
dairy,equipment,entertainment,tobacco,bus,writers,travel,exchanges,glazing,humanities,facilities,cable,wear,peat,eating,,
frozen,centres,equipment,cotton,taxi,performers,arrangement,portfolio,roofing,advertising,developmental,program,costume,support,service,,
butter,hardware,furnishings,hay,school,authors,operators,carriers,plumbing,media,transition,data,disc,drilling,mobile,,
dessert,food,pottery,products,pipeline,art,car,property,finishing,mail,youth,news,transportation,,,,
meat,beverage,floor,cattle,crude,galleries,patrol,casualty,drywall,material,persons,syndicates,mining,,,,
poultry,convenience,jewellery,dairy,petroleum,historic,buildings,accident,wall,distributors,housing,publishing,assets,,,,
rendering,specialty,book,milk,land,sites,dwellings,sickness,covering,professional,emergency,search,works,,,,
carcasses,meat,newspaper,hog,support,zoos,control,automobile,flooring,marketing,relief,portals,,,,,
seafood,markets,supplies,pig,activities,gardens,janitorial,agencies,tile,opinion,rehabilitation,,,,,,
preparation,fish,sound,poultry,airport,nature,window,brokerages,terrazzo,polling,day-care,,,,,,
packaging,seafood,wholesalers,egg,operations,parks,cleaning,claims,carpentry,translation,,,,,,,
bakeries,fruit,video,chicken,traffic,amusement,landscaping,adjusters,site,interpretation,,,,,,,
tortilla,goods,cassette,broiler,control,recreation,carpet,funds,preparation,,,,,,,,
bread,confectionery,toy,turkey,port,arcades,upholstery,vehicles,,,,,,,,,
bakery,nut,amusement,hatcheries,harbour,theme,duct,pension,,,,,,,,,
cookie,beer,pharmaceuticals,sheep,marine,casinos,chimney,equity,,,,,,,,,
cracker,wine,toiletries,goat,cargo,casino,packaging,canadian,,,,,,,,,
pasta,liquor,cosmetics,aquaculture,salvage,hotels,labelling,money,,,,,,,,,
nut,pharmacies,motor,equine,road,courses,show,income,,,,,,,,,
peanut,drug,vehicle,animal,motor,country,organizers,/,,,,,,,,,
coffee,cosmetics,parts,rabbit,vehicle,skiing,treatment,dividend,,,,,,,,,
tea,beauty,automobile,logging,arrangement,marinas,disposal,asset,,,,,,,,,
syrup,perfume,truck,timber,shipping,fitness,material,allocation,,,,,,,,,
concentrate,supplement,tractor,tract,agencies,centres,recovery,securitization,,,,,,,,,
seasoning,gasoline,bus,operations,couriers,bowling,,,,,,,,,,,
beverage,stations,vehicles,forest,messengers,,,,,,,,,,,,
tobacco,clothing,tire,nurseries,delivery,,,,,,,,,,,,
drink,men,material,gathering,warehousing,,,,,,,,,,,,
breweries,women,plumbing,,storage,,,,,,,,,,,,
wineries,children,heating,contract,farm,,,,,,,,,,,,
distilleries,infants,wiring,salt,product,,,,,,,,,,,,
textile,family,construction,water,,,,,,,,,,,,,
mills,fur,metal,inland,,,,,,,,,,,,,
fibre,shoe,service,trapping,,,,,,,,,,,,,
yarn,jewellery,centres,support,,,,,,,,,,,,,
thread,luggage,lumber,activities,,,,,,,,,,,,,
fabric,hobby,millwork,,,,,,,,,,,,,,
machine,book,hardware,,,,,,,,,,,,,,
embroidery,music,building,,,,,,,,,,,,,,
knit,instrument,plywood,,,,,,,,,,,,,,
finishing,toy,paint,,,,,,,,,,,,,,
coating,game,glass,,,,,,,,,,,,,,
furnishings,sewing,machinery,,,,,,,,,,,,,,
carpet,needlework,lawn,,,,,,,,,,,,,,
linen,disc,oil,,,,,,,,,,,,,,
bag,record,gas,,,,,,,,,,,,,,
canvas,merchandise,computer,,,,,,,,,,,,,,
clothing,department,communications,,,,,,,,,,,,,,
hosiery,warehouse,software,,,,,,,,,,,,,,
cut,superstores,office,,,,,,,,,,,,,,
sew,auto,store,,,,,,,,,,,,,,
contracting,store,paper,,,,,,,,,,,,,,
men,retailers,stationery,,,,,,,,,,,,,,
boys,florists,feed,,,,,,,,,,,,,,
suit,office,seed,,,,,,,,,,,,,,
coat,stationery,chemical,,,,,,,,,,,,,,
overcoat,gift,agricultural,,,,,,,,,,,,,,
shirt,novelty,log,,,,,,,,,,,,,,
trouser,souvenir,wood,,,,,,,,,,,,,,
slack,pet,chip,,,,,,,,,,,,,,
girls,shopping,markets,,,,,,,,,,,,,,
dress,internet,,,,,,,,,,,,,,,
jacket,auctions,,,,,,,,,,,,,,,
skirt,machine,,,,,,,,,,,,,,,
infants,operators,,,,,,,,,,,,,,,
fur,selling,,,,,,,,,,,,,,,
leather,establishments,,,,,,,,,,,,,,,
accessories,fuel,,,,,,,,,,,,,,,
tanning,oil,,,,,,,,,,,,,,,
wood,petroleum,,,,,,,,,,,,,,,
sawmills,gas,,,,,,,,,,,,,,,
preservation,,,,,,,,,,,,,,,,
shingle,,,,,,,,,,,,,,,,
veneer,,,,,,,,,,,,,,,,
plywood,,,,,,,,,,,,,,,,
hardwood,,,,,,,,,,,,,,,,
softwood,,,,,,,,,,,,,,,,
particle,,,,,,,,,,,,,,,,
board,,,,,,,,,,,,,,,,
fibreboard,,,,,,,,,,,,,,,,
waferboard,,,,,,,,,,,,,,,,
millwork,,,,,,,,,,,,,,,,
window,,,,,,,,,,,,,,,,
door,,,,,,,,,,,,,,,,
container,,,,,,,,,,,,,,,,
pallet,,,,,,,,,,,,,,,,
home,,,,,,,,,,,,,,,,
building,,,,,,,,,,,,,,,,
paper,,,,,,,,,,,,,,,,
pulp,,,,,,,,,,,,,,,,
paperboard,,,,,,,,,,,,,,,,
chemical,,,,,,,,,,,,,,,,
newsprint,,,,,,,,,,,,,,,,
box,,,,,,,,,,,,,,,,
printing,,,,,,,,,,,,,,,,
support,,,,,,,,,,,,,,,,
activities,,,,,,,,,,,,,,,,
screen,,,,,,,,,,,,,,,,
manifold,,,,,,,,,,,,,,,,
business,,,,,,,,,,,,,,,,
forms,,,,,,,,,,,,,,,,
petroleum,,,,,,,,,,,,,,,,
coal,,,,,,,,,,,,,,,,
refineries,,,,,,,,,,,,,,,,
asphalt,,,,,,,,,,,,,,,,
paving,,,,,,,,,,,,,,,,
roofing,,,,,,,,,,,,,,,,
materials,,,,,,,,,,,,,,,,
mixture,,,,,,,,,,,,,,,,
block,,,,,,,,,,,,,,,,
material,,,,,,,,,,,,,,,,
petrochemical,,,,,,,,,,,,,,,,
gas,,,,,,,,,,,,,,,,
dye,,,,,,,,,,,,,,,,
pigment,,,,,,,,,,,,,,,,
alkali,,,,,,,,,,,,,,,,
chlorine,,,,,,,,,,,,,,,,
resin,,,,,,,,,,,,,,,,
rubber,,,,,,,,,,,,,,,,
fibres,,,,,,,,,,,,,,,,
filaments,,,,,,,,,,,,,,,,
pesticide,,,,,,,,,,,,,,,,
fertilizer,,,,,,,,,,,,,,,,
potash,,,,,,,,,,,,,,,,
paint,,,,,,,,,,,,,,,,
soap,,,,,,,,,,,,,,,,
compound,,,,,,,,,,,,,,,,
toilet,,,,,,,,,,,,,,,,
ink,,,,,,,,,,,,,,,,
explosives,,,,,,,,,,,,,,,,
custom,,,,,,,,,,,,,,,,
compounding,,,,,,,,,,,,,,,,
resins,,,,,,,,,,,,,,,,
plastics,,,,,,,,,,,,,,,,
products,,,,,,,,,,,,,,,,
plastic,,,,,,,,,,,,,,,,
film,,,,,,,,,,,,,,,,
sheet,,,,,,,,,,,,,,,,
pipe,,,,,,,,,,,,,,,,
fitting,,,,,,,,,,,,,,,,
profile,,,,,,,,,,,,,,,,
shape,,,,,,,,,,,,,,,,
plate,,,,,,,,,,,,,,,,
polystyrene,,,,,,,,,,,,,,,,
urethane,,,,,,,,,,,,,,,,
bottle,,,,,,,,,,,,,,,,
plumbing,,,,,,,,,,,,,,,,
fixture,,,,,,,,,,,,,,,,
motor,,,,,,,,,,,,,,,,
vehicle,,,,,,,,,,,,,,,,
parts,,,,,,,,,,,,,,,,
tire,,,,,,,,,,,,,,,,
hose,,,,,,,,,,,,,,,,
belting,,,,,,,,,,,,,,,,
clay,,,,,,,,,,,,,,,,
refractory,,,,,,,,,,,,,,,,
pottery,,,,,,,,,,,,,,,,
ceramics,,,,,,,,,,,,,,,,
glass,,,,,,,,,,,,,,,,
cement,,,,,,,,,,,,,,,,
concrete,,,,,,,,,,,,,,,,
brick,,,,,,,,,,,,,,,,
lime,,,,,,,,,,,,,,,,
metal,,,,,,,,,,,,,,,,
iron,,,,,,,,,,,,,,,,
steel,,,,,,,,,,,,,,,,
pipes,,,,,,,,,,,,,,,,
tubes,,,,,,,,,,,,,,,,
rolling,,,,,,,,,,,,,,,,
drawing,,,,,,,,,,,,,,,,
wire,,,,,,,,,,,,,,,,
alumina,,,,,,,,,,,,,,,,
aluminum,,,,,,,,,,,,,,,,
production,,,,,,,,,,,,,,,,
smelting,,,,,,,,,,,,,,,,
copper,,,,,,,,,,,,,,,,
foundries,,,,,,,,,,,,,,,,
die-casting,,,,,,,,,,,,,,,,
forging,,,,,,,,,,,,,,,,
stamping,,,,,,,,,,,,,,,,
cutlery,,,,,,,,,,,,,,,,
hand,,,,,,,,,,,,,,,,
tool,,,,,,,,,,,,,,,,
metals,,,,,,,,,,,,,,,,
work,,,,,,,,,,,,,,,,
component,,,,,,,,,,,,,,,,
bar,,,,,,,,,,,,,,,,
boiler,,,,,,,,,,,,,,,,
tank,,,,,,,,,,,,,,,,
shipping,,,,,,,,,,,,,,,,
heat,,,,,,,,,,,,,,,,
exchanger,,,,,,,,,,,,,,,,
gauge,,,,,,,,,,,,,,,,
hardware,,,,,,,,,,,,,,,,
spring,,,,,,,,,,,,,,,,
shops,,,,,,,,,,,,,,,,
bolt,,,,,,,,,,,,,,,,
screw,,,,,,,,,,,,,,,,
treating,,,,,,,,,,,,,,,,
valve,,,,,,,,,,,,,,,,
ball,,,,,,,,,,,,,,,,
roller,,,,,,,,,,,,,,,,
bearing,,,,,,,,,,,,,,,,
machinery,,,,,,,,,,,,,,,,
implement,,,,,,,,,,,,,,,,
field,,,,,,,,,,,,,,,,
sawmill,,,,,,,,,,,,,,,,
industry,,,,,,,,,,,,,,,,
ventilation,,,,,,,,,,,,,,,,
heating,,,,,,,,,,,,,,,,
refrigeration,,,,,,,,,,,,,,,,
equipment,,,,,,,,,,,,,,,,
fan,,,,,,,,,,,,,,,,
blower,,,,,,,,,,,,,,,,
air,,,,,,,,,,,,,,,,
purification,,,,,,,,,,,,,,,,
mould,,,,,,,,,,,,,,,,
engine,,,,,,,,,,,,,,,,
turbine,,,,,,,,,,,,,,,,
transmission,,,,,,,,,,,,,,,,
generator,,,,,,,,,,,,,,,,
unit,,,,,,,,,,,,,,,,
pump,,,,,,,,,,,,,,,,
compressor,,,,,,,,,,,,,,,,
computer,,,,,,,,,,,,,,,,
communications,,,,,,,,,,,,,,,,
telephone,,,,,,,,,,,,,,,,
apparatus,,,,,,,,,,,,,,,,
radio,,,,,,,,,,,,,,,,
television,,,,,,,,,,,,,,,,
broadcasting,,,,,,,,,,,,,,,,
wireless,,,,,,,,,,,,,,,,
audio,,,,,,,,,,,,,,,,
semiconductor,,,,,,,,,,,,,,,,
measuring,,,,,,,,,,,,,,,,
control,,,,,,,,,,,,,,,,
instruments,,,,,,,,,,,,,,,,
guidance,,,,,,,,,,,,,,,,
devices,,,,,,,,,,,,,,,,
appliance,,,,,,,,,,,,,,,,
lamp,,,,,,,,,,,,,,,,
bulb,,,,,,,,,,,,,,,,
household,,,,,,,,,,,,,,,,
kitchen,,,,,,,,,,,,,,,,
distribution,,,,,,,,,,,,,,,,
transformers,,,,,,,,,,,,,,,,
switchgear,,,,,,,,,,,,,,,,
switchboard,,,,,,,,,,,,,,,,
relay,,,,,,,,,,,,,,,,
battery,,,,,,,,,,,,,,,,
cable,,,,,,,,,,,,,,,,
device,,,,,,,,,,,,,,,,
transportation,,,,,,,,,,,,,,,,
automobile,,,,,,,,,,,,,,,,
truck,,,,,,,,,,,,,,,,
body,,,,,,,,,,,,,,,,
trailer,,,,,,,,,,,,,,,,
camper,,,,,,,,,,,,,,,,
gasoline,,,,,,,,,,,,,,,,
suspension,,,,,,,,,,,,,,,,
components,,,,,,,,,,,,,,,,
brake,,,,,,,,,,,,,,,,
system,,,,,,,,,,,,,,,,
train,,,,,,,,,,,,,,,,
seating,,,,,,,,,,,,,,,,
trim,,,,,,,,,,,,,,,,
aerospace,,,,,,,,,,,,,,,,
railroad,,,,,,,,,,,,,,,,
stock,,,,,,,,,,,,,,,,
ship,,,,,,,,,,,,,,,,
boat,,,,,,,,,,,,,,,,
repairing,,,,,,,,,,,,,,,,
furniture,,,,,,,,,,,,,,,,
cabinet,,,,,,,,,,,,,,,,
counter,,,,,,,,,,,,,,,,
top,,,,,,,,,,,,,,,,
office,,,,,,,,,,,,,,,,
fixtures,,,,,,,,,,,,,,,,
woodwork,,,,,,,,,,,,,,,,
showcase,,,,,,,,,,,,,,,,
partition,,,,,,,,,,,,,,,,
locker,,,,,,,,,,,,,,,,
mattress,,,,,,,,,,,,,,,,
blind,,,,,,,,,,,,,,,,
shade,,,,,,,,,,,,,,,,
supplies,,,,,,,,,,,,,,,,
